pergunta,resposta
Qual é a capital do Brasil?,Brasília
Quem foi o primeiro presidente do Brasil?,Deodoro da Fonseca
Qual é a fórmula da água?,H2O
"Quem escreveu ""O Pequeno Príncipe""?",Antoine de Saint-Exupéry
Quem pintou a Mona Lisa?,Leonardo da Vinci
Qual é o maior planeta do sistema solar?,Júpiter
Qual é o país mais populoso do mundo?,China
Quem inventou a lâmpada?,Thomas Edison
Qual é o maior animal terrestre do mundo?,Elefante
"Quem escreveu ""Dom Casmurro""?",Machado de Assis
Quanto é 1 + 1?,2
Quem fundou o nazismo?,Adolf Hitler
